Seat No,OBJEC,FUNDA,WEB A,NUMER,GIT,OB PR,FUNPR,WD PR,NM PR,SQ PR,Total,CGPA
19094,0,0,0,0,0,0,0,0,0,0,0,0.00
19095,16,10,16,16,10,8,12,20,12,8,128,6.40
19096,0,0,14,8,0,8,8,12,12,8,70,0.00
19097,0,0,0,0,0,0,0,0,0,0,0,0.00
19098,8,0,8,8,10,8,18,12,18,12,102,0.00
19099,16,18,20,20,20,20,20,20,20,20,194,9.70
19100,8,0,12,8,10,0,0,12,8,16,74,0.00
19101,8,8,10,12,0,8,12,18,8,8,92,0.00
19102,18,16,16,18,18,20,20,20,20,20,186,9.30
19103,0,0,0,0,0,0,0,0,0,0,0,0.00
19104,0,0,0,0,0,0,0,0,0,0,0,0.00
19105,8,8,10,10,8,8,12,14,12,8,98,4.90
19106,0,8,10,8,8,10,16,12,12,12,96,0.00
19107,10,8,8,8,0,12,8,0,8,0,62,0.00
19108,8,0,8,8,8,16,18,8,8,8,90,0.00
19109,18,12,20,10,18,20,20,20,20,20,178,8.90
19110,12,8,18,10,16,8,20,20,12,18,142,7.10
19111,0,0,0,0,0,0,0,0,0,0,0,0.00
19112,16,10,18,12,14,16,8,16,14,20,144,7.20
19113,14,8,12,10,8,16,12,8,18,8,114,5.70
19114,20,8,20,16,10,20,20,20,20,20,174,8.70
19115,18,18,20,16,20,16,20,20,20,20,188,9.40
19116,0,0,8,0,0,0,0,0,0,16,24,0.00
19117,20,14,14,16,10,20,20,14,8,20,156,7.80
19118,18,16,18,16,10,20,20,20,16,20,174,8.70
19119,0,0,0,0,0,0,8,10,8,0,26,0.00
19120,12,10,10,8,8,16,16,20,12,20,132,6.60
19121,20,18,18,16,16,20,8,20,18,20,174,8.70
19122,8,0,8,0,0,0,0,0,0,0,16,0.00
19123,16,14,14,10,10,16,16,16,18,18,148,7.40
19124,20,20,20,20,20,20,20,20,20,20,200,10.00
19125,14,10,16,12,14,20,12,20,8,12,138,6.90
19126,10,10,12,12,8,16,12,16,10,16,122,6.10
19127,16,8,14,14,12,14,8,16,8,8,118,5.90
19128,0,0,0,0,0,0,0,0,0,0,0,0.00
19129,10,8,8,10,8,14,20,16,18,16,128,6.40
19130,20,20,20,18,18,20,20,20,20,20,196,9.80
19131,18,16,18,14,10,16,20,20,20,10,162,8.10
19132,16,8,14,12,8,20,20,20,12,20,150,7.50
19133,12,8,10,12,12,12,12,12,20,8,118,5.90
19134,10,0,10,18,8,20,8,0,20,8,102,0.00
19135,12,8,12,16,8,20,8,12,8,8,112,5.60
19136,10,0,0,10,0,20,20,12,20,8,100,0.00
19137,8,0,0,10,8,12,16,0,8,16,78,0.00
19138,8,0,10,8,0,8,12,12,0,8,66,0.00
