Seat No,PPWC,DLA,FDMS,CLDS,TCS,PR1,PR2,PR3,PR4,PR5,Total
19134,12,10,14,12,21,20,25,20,7,30,171
19135,45,42,46,49,59,25,26,29,8,46,375
19136,65,69,57,76,58,47,41,42,26,47,528
19137,70,59,70,51,51,42,25,48,24,44,484
19138,23,40,45,47,46,28,26,36,20,47,358
19139,69,78,50,68,44,45,46,43,34,45,522
19140,62,61,53,63,53,27,20,35,31,45,450
19141,39,41,10,35,22,25,22,20,23,25,262
19142,56,46,25,37,28,28,30,35,30,44,359
19143,30,34,33,12,50,30,42,20,20,46,317
