Seat No,CHE 1,CHE 2,CHE P,ZOO 1,ZOO 2,ZOO P,FC 2,PHY1,PHY2,PHYP,Total,CGPA
13234,8,8,16,14,16,20,16,16,16,20,150,7.50
13235,0,0,0,0,0,0,0,0,0,0,0,0.00
13236,0,0,20,12,14,18,8,0,12,16,100,0.00
13237,8,0,8,8,16,20,8,0,14,16,98,0.00
13238,0,0,14,8,10,20,8,8,16,10,94,0.00
13239,0,0,0,0,0,0,0,0,0,0,0,0.00
13240,0,0,14,8,14,12,8,8,12,12,88,0.00
13241,12,0,18,14,16,20,8,8,16,18,130,0.00
13242,0,0,0,0,0,0,0,0,0,0,0,0.00
13243,0,0,12,8,12,16,0,0,8,10,66,0.00
13244,0,0,10,8,12,14,0,0,0,14,58,0.00
13245,0,0,0,0,0,0,0,0,0,0,0,0.00
13246,8,10,18,12,14,20,12,14,14,16,138,6.90
13247,0,0,0,0,0,0,0,0,0,0,0,0.00
13248,0,0,18,8,12,20,0,0,10,0,68,0.00
13249,14,18,20,16,16,20,18,16,20,16,174,8.70
13250,0,0,8,0,8,16,0,0,8,10,50,0.00
13251,14,12,20,18,16,20,18,16,20,20,174,8.70
13252,8,8,8,8,12,16,8,0,12,12,92,0.00
13253,0,0,0,0,0,0,0,0,0,0,0,0.00
13254,0,8,20,12,16,20,0,8,16,16,116,0.00
13255,12,12,20,10,12,20,16,14,20,16,152,7.60
13256,0,0,0,0,0,0,0,0,0,0,0,0.00
13257,0,0,0,0,0,0,0,0,0,0,0,0.00
13258,16,18,18,18,18,20,16,18,20,20,182,9.10
13259,10,16,16,20,16,20,14,10,20,20,162,8.10
13260,0,0,18,0,0,16,8,0,0,10,52,0.00
13261,0,0,16,14,16,14,0,0,0,18,78,0.00
13262,8,14,20,16,18,20,16,10,20,20,162,8.10
13263,0,0,0,0,0,0,0,0,0,0,0,0.00
13264,0,0,0,0,0,0,0,0,0,0,0,0.00
13265,0,0,0,0,0,0,0,0,0,0,0,0.00
13266,0,0,18,12,16,20,8,0,16,18,108,0.00
13267,20,16,16,14,20,20,12,8,14,18,158,7.90
13268,8,0,0,12,16,16,8,8,10,18,96,0.00
13269,0,0,12,0,14,16,0,0,8,12,62,0.00
