Seat No,CHE 1,CHE 2,CHE P,ZOO 1,ZOO 2,ZOO P,FC 2,PHY1,PHY2,PHYP,Total
13254,21,40,82,54,65,89,28,40,61,69,549
13255,53,51,78,45,54,85,63,57,86,69,641
13256,0,0,0,0,0,0,0,0,0,0,0
13257,0,0,0,0,0,0,0,0,0,0,0
13258,60,70,72,71,72,95,64,70,82,78,734
13259,45,63,60,81,69,98,55,49,84,79,683
13260,11,27,72,13,27,61,40,21,0,48,320
13261,11,29,66,56,67,56,20,16,0,76,397
13262,40,55,84,64,75,92,64,46,82,79,681
13263,0,0,0,0,0,0,0,0,0,0,0
13264,0,0,0,0,0,0,0,0,0,0,0
13265,0,0,0,0,0,0,0,0,0,0,0
13266,23,22,75,52,68,89,40,21,61,72,523
13267,77,62,60,59,79,89,50,40,57,74,647
13268,40,28,0,51,61,60,40,40,46,73,439
13269,20,15,53,27,56,65,20,12,40,53,361
