Seat No,FC,BOT 1,BOT 2,BOT 3,BOT P,CHE 1,CHE 2,CHE 3,CHE P,Total,CGPA
16115,12,20,20,20,30,20,20,20,30,192,9.60
16116,14,20,18,18,30,20,14,20,30,184,9.20
16117,14,0,12,8,21,12,0,12,24,103,0.00
16118,10,10,0,0,21,0,0,0,30,71,0.00
16119,12,16,16,14,27,0,0,12,30,127,0.00
16120,12,12,14,10,24,16,12,12,30,142,7.10
16121,14,0,8,0,15,12,0,0,27,76,0.00
16122,14,20,20,20,30,20,20,20,30,194,9.70
16123,12,20,20,20,30,20,14,20,30,186,9.30
16124,10,20,20,20,30,20,18,20,30,188,9.40
16125,12,20,20,16,30,20,20,18,30,186,9.30
16126,10,18,20,16,30,14,14,18,30,170,8.50
16127,14,20,20,20,30,20,16,20,30,190,9.50
16128,14,16,18,20,30,18,12,18,30,176,8.80
16129,12,16,20,18,30,20,16,14,30,176,8.80
16130,14,20,20,20,30,16,16,20,30,186,9.30
16131,16,18,18,16,30,18,14,14,30,174,8.70
16132,12,20,18,16,30,16,16,16,30,174,8.70
16133,10,10,14,18,30,18,18,18,30,166,8.30
16134,0,0,10,10,24,12,0,0,24,80,0.00
16135,16,20,20,20,30,20,20,20,30,196,9.80
16136,10,16,16,0,30,16,16,18,30,152,0.00
16137,12,20,20,20,30,16,16,20,30,184,9.20
16138,10,16,16,16,27,20,16,18,30,169,8.45
16139,16,20,20,16,30,20,18,20,30,190,9.50
16140,18,20,20,20,30,20,20,20,30,198,9.90
16141,10,20,20,20,30,14,12,18,30,174,8.70
